name,type,population,Lat,Long
Bagacay,village,,10.946863,122.62835
Bagacay,village,,12.57485,122.266994
Bagacay,village,,10.360001,123.738975
Bagacay,hamlet,,11.930284,124.295839
Bagacay,hamlet,,11.7879,122.1677
Bagacay,hamlet,,12.366667,123.416667
Bagacay,hamlet,,12.483333,123.466667
Bagacay,hamlet,,12.507971,123.674415
Bagacay,hamlet,,13.4,121.916667
Bagacay Catipohan,hamlet,,9.80098,123.79271
Bagacay Saong,hamlet,,9.79944,123.791645
Bagagay,hamlet,,12.347038,123.383216
Bagaguimbal,hamlet,,12.623561,123.667666
Bagaguimbal,hamlet,,12.6255,123.6753
Bagahanglad,hamlet,,12.5797,123.6688
Bagakay,village,,9.987199,123.61508
Bagakay,hamlet,,11.28245,124.958408
Bagakay,hamlet,,11.306325,124.37519
Bagakay,hamlet,,11.306325,124.37519
Bagalayam,village,,10.757381,124.002449
Bagalnga,village,,10.475927,123.978189
Bagapayong,hamlet,,12.454925,123.523025
Bagasaue,village,,10.764244,123.842826
Bagasico,hamlet,,12.6414,123.6773
Bagatoon,hamlet,,11.163333,124.628056
Bagay,village,,11.194871,124.034705
Bagokoy,hamlet,,12.2,121.066667
Bagombayan,hamlet,,11.7314,122.0888
Bagonbon,hamlet,,9.623816,123.914259
Bagong,village,464,11.0683,124.6413
Bagong Buhay,village,4588,11.034636,124.594446
Bagong Cambangay,hamlet,,10.006111,124.344722
Bagong Pook,hamlet,,13.3897,121.214
Bagong Sikat,hamlet,,12.367447,121.061713
Bagtic,village,,10.909574,123.941262
Bagtik,hamlet,,10.6,123.783333
Bagua,hamlet,,11.030833,125.765833
Baguiad,hamlet,,12.5208,123.6552
Bagumbayan,hamlet,,12.002305,123.979653
Bagumbayan,village,,10.690086,122.386226
Bahay,hamlet,,11.122778,124.861667
Bahay Nayon,hamlet,,13.35,122.05
Bahit,hamlet,,11.546111,122.801389
Bahoy,hamlet,,11.1538,124.4802
Bailan,village,,10.00377,126.04495
Bailan,hamlet,,11.456818,122.82824
Bailan,hamlet,,11.433,122.8411
Bajit,hamlet,,11.4879,122.7757
Bakhaw,village,,11.342069,124.11679
Bakhaw,village,,10.718171,122.554551
Bakilid,village,,10.338167,123.934203
Balacson,village,,11.667948,124.344624
Balacson,hamlet,,11.483333,124.8
Baladingan,hamlet,,12.626423,123.70496
Balagon,hamlet,,12.5594,123.6871
Balagtas,hamlet,,11.1333,124.5192
Balagytiki,village,,10.050587,123.463426
Balal Guli,hamlet,,11.968295,124.406256
Balamban,town,,10.50395,123.718799
Balamban,hamlet,,10.504892,123.714823
Balangiga,town,,11.107448,125.387454
Balangkayan,town,,11.383333,125.383333
Balansay,hamlet,,13.233333,120.6
Balantay,hamlet,,12.1452,123.8522
Balante,hamlet,,11.4491,122.9699
Balao,village,,13.40521,120.694025
Balaquid,village,,11.477635,124.531787
Balaring,hamlet,,11.547748,122.684661
Balaring,hamlet,,11.565833,122.647778
Balasan,town,,11.473148,123.089147
Balatasan,village,,12.296062,121.383441
Balatero,village,,13.504619,120.932295
Balawing,hamlet,,12.463821,123.369829
Balbagon,village,,9.238017,124.739503
Balbalan,hamlet,,9.611944,124.155
Balcon,hamlet,,11.4475,122.913
Baleno,town,,12.473876,123.497522
Balete,town,,11.556417,122.3797
Balete,village,,12.38167,123.417833
Balete,hamlet,,12.930108,121.488616
Balete,hamlet,,13.4166,121.1601
Balete,hamlet,,12.401716,123.407332
Baliang,village,,10.498363,123.953494
Balighot,hamlet,,11.401912,122.805928
Balilihan,town,,9.756487,123.971688
Balingoan,town,,8.95,124.866667
BALIRONG,village,,10.256358,123.711617
Balit,hamlet,,11.4138,122.6066
Balite,hamlet,,13.240999,121.102193
Balite,hamlet,,12.931008,121.470616
Balite,hamlet,,9.726389,124.298056
Baliwagan,hamlet,,12.289252,121.107512
Baliyon,hamlet,,11.0737,124.5493
Balnasan,village,,12.515792,124.919471
Balocawe,hamlet,,11.131667,124.974167
Balogo,village,,12.976993,124.01974
Balogo,village,,12.60491,122.025594
Balombon,hamlet,,13.281185,121.344818
Balsman,hamlet,,11.4124,122.6375
Balucauc,hamlet,,12.1881,123.819
Balucaue,hamlet,,12.20268,123.847103
Balucuan,hamlet,,11.3985,122.6761
Balucuan,hamlet,,11.4322,122.7451
Balud,town,,12.037648,123.193012
Balud,village,,12.524068,124.901572
Balud,hamlet,,13.21989,121.271418
Balugo,hamlet,,12.5,121.366667
Balugo,hamlet,,12.579231,121.439314
Balusbus,village,,11.901922,121.917419
Bamban,hamlet,,12.285252,121.258412
Bamban,hamlet,,12.286852,121.233412
Bambang,hamlet,,13.115897,121.302117
Bambang,hamlet,,13.239188,121.363118
Banacon,village,,10.197177,124.183398
Banahao,hamlet,,9.986941,124.134118
Banajao,hamlet,,12.2077,123.8436
Banate,town,,11.00068,122.81827
Banate,hamlet,,11.4034,122.8909
Banban,village,,11.015135,123.962082
Banban,hamlet,,10.611133,123.785659
Bancal,village,,10.121978,124.381461
Bancal,village,,10.784787,122.431437
Bancal,hamlet,,12.411,123.3782
Bancasan,hamlet,,11.05454,123.928268
Banco,hamlet,,12.3881,123.3612
Bancorro,hamlet,,12.730095,120.834132
Bancuro,hamlet,,13.279786,121.328318
Banday,hamlet,,10.733333,123.833333
Banga,town,,11.638245,122.332279
Banga,hamlet,,11.915873,121.94801
Banga,hamlet,,12.209,123.7736
Bangaan,hamlet,,11.4432,122.7755
Bangabanga,hamlet,,11.233333,124.683333
Bangbang,village,,10.258568,123.944405
Bangcolotan,hamlet,,9.095708,123.185816
Bangkal,hamlet,,12.368,121.3834
Bangon,village,,12.36453,125.234488
Bangon,village,,12.487334,123.386499
Bangon,hamlet,,11.287024,125.056966
Bangon,hamlet,,11.383333,124.366667
Bangona,hamlet,,12.476513,123.406815
Bangonbangon,hamlet,,11.4051,122.6763
Bangun,hamlet,,11.15,123.966667
Banhigan,village,,9.843293,123.386165
Banilad,village,,10.347728,123.912957
Bankal,village,,10.301369,123.98067
Bankal,hamlet,,12.241056,121.058712
Banoyo,hamlet,,11.096389,125.694167
Banquito,hamlet,,10.733333,123.833333
Bansud,town,,12.861467,121.488869
Bantalinao,hamlet,,12.356924,123.266032
Bantayan,town,,11.166717,123.720233
Bantayan,hamlet,,9.727778,124.385833
Bantayan,hamlet,,9.801389,124.342222
Bantigue,village,2150,10.989885,124.622514
Bantigue,hamlet,,11.54998,122.795894
Bantigui,hamlet,,11.4904,122.8838
Bantigui,hamlet,,11.5799,124.2675
Bantilan,hamlet,,11.512683,124.444436
Bantod Point,village,,11.018625,125.735096
Banton,town,,12.933333,122.083333
Bantulin,village,,10.917079,124.033535
Banutan,hamlet,,12.929908,121.447016
Banutan,hamlet,,12.934608,121.424616
Banyaga,hamlet,,12.617024,122.253413
Bao,hamlet,,11.0727,124.5373
Baogo,hamlet,,11.0393,124.5347
Baohugan,hamlet,,9.632948,124.150497
Baong,hamlet,,12.222757,121.068312
Baong,hamlet,,12.4907,121.4067
Barangay,hamlet,,10.709672,122.203049
Barangay 109,village,,11.203591,124.995444
Barangay 109-A,village,,11.199325,125.000057
Barangay 59,village,,11.220468,124.997393
Barangay 62,village,,11.221262,125.001767
Barangay 62A,village,,11.220793,125.003423
Barangay 62B,village,,11.222556,125.000755
Barangay 63,village,,11.217483,124.999663
Barangay 64,village,,11.217603,125.003424
Barangay 66A,village,,11.249178,124.992679
Barangay 67,village,,11.250823,124.991238
Barangay 68,village,,11.252605,124.990145
Barangay 69,village,,11.2577,124.988331
Barangay 75,village,,11.214087,125.009278
Barangay 76,village,,11.213992,125.007234
Barangay 77,village,,11.2104,125.006575
Barangay 78,village,,11.202551,125.005617
Barangay 79,village,,11.201339,125.008261
Barangay 81,village,,11.196655,125.005893
Barangay 82,village,,11.19382,125.00266
Barangay 83,village,,11.207948,125.016496
Barangay 83-A,village,,11.20982,125.014078
Barangay 83-A,village,,11.210639,125.012177
Barangay 83-C,village,,11.207111,125.012592
Barangay 84,village,,11.200946,125.016693
Barangay 85,village,,11.206841,125.02277
Barangay 86,village,,11.20757,125.02613
Barangay 87,village,,11.200839,125.023419
Barangay 90,village,,11.193479,125.015663
Barangay Arong,village,,12.021942,124.807724
Barangay Aurora,village,,11.933773,124.832089
Barangay Bahay,village,,11.911322,124.803064
Barangay Balugo,village,,11.907498,124.820204
Barangay Bangahon,village,,12.026654,124.82307
Barangay Blanca Aurora,village,,11.963514,124.897836
Barangay Buenas Aires,village,,11.985696,124.77553
Barangay Buenavista,village,,11.975683,124.877045
Barangay Bulao,village,,11.97994,124.854491
Barangay Bunyagan,village,,12.017869,124.797277
Barangay Cabunga-an,village,,11.921394,124.747258
Barangay Calanyugan,village,,11.95888,124.788906
Barangay Calirocan,village,,12.018864,124.819821
Barangay Cantaguic,village,,11.9228,124.872443
Barangay Canunghan,village,,11.90528,124.768963
Barangay Caprangasan,village,,11.96851,124.701271
Barangay Casab-ahan,village,,12.00354,124.78508
Barangay Casandig,village,,12.038126,124.82812
Barangay Catan-agan,village,,11.944045,124.793537
Barangay Catorse de Agosto,village,,12.015113,124.81446
Barangay Concepcion,village,,11.98493,124.761387
Barangay Diaz,village,,12.005056,124.811128
Barangay Erenas,village,,11.981027,124.823639
Barangay Heparayan,village,,12.058623,124.823118
Barangay Hinogacan,village,,11.973325,124.802274
Barangay Iguid,village,,11.829124,124.837078
Barangay Ilo,village,,11.997862,124.746771
Barangay Imelda,village,,11.902147,124.748272
Barangay Lanipig (Lanipga?),village,,11.761021,122.221558
Barangay Lungib,village,,11.964312,124.708653
Barangay Mabuhay,village,,11.936659,124.836697
Barangay Macugo,village,,12.049207,124.797049
Barangay Mahayag,village,,11.846172,124.826867
Barangay Margadin,village,,11.911395,124.784809
Barangay Matalud,village,,11.99989,124.902154
Barangay Moboob,village,,11.973304,124.919419
Barangay Nacube,village,,11.994425,124.772515
Barangay Napalisan,village,,11.986142,124.67329
Barangay Natimonan,village,,12.02587,124.811983
Barangay Ngoso,village,,12.010849,124.815033
Barangay Pajo,village,,11.928191,124.802029
Barangay Palanas,village,,11.97026,124.718152
Barangay Palencia,village,,11.884537,124.832489
Barangay Panayakan,village,,11.762127,122.219398
Barangay Pangi,village,,11.968395,124.753777
Barangay Payao,village,,11.803374,124.86287
Barangay Pizarro,village,,12.056441,124.819685
Barangay Polo,village,,11.81633,122.162455
Barangay Pologon,village,,11.964244,124.796821
Barangay Pupua,village,,11.8128,124.85933
Barangay Quezon,village,,11.925628,124.829382
Barangay Rawis,village,,12.088335,124.826551
Barangay Rawis,village,,11.92389,124.848183
Barangay Rizal,village,,11.913106,121.987285
Barangay Rosalim,village,,11.949114,124.834639
Barangay San Agustin,village,,11.987538,124.809159
Barangay San Isidro,village,,11.924162,124.839085
Barangay San Luis,village,,11.978182,124.763556
Barangay San Pelayo,village,,11.991501,124.782388
Barangay San Vicente,village,,11.865523,124.831191
Barangay Sapinit,village,,11.970689,124.83744
Barangay Senibaran,village,,11.95124,124.873512
Barangay Sidmon,village,,12.045025,124.803377
Barangay Silanga,village,,11.817447,124.84019
Barangay Sta. Cruz,village,,11.897493,124.823048
Barangay Sto. Ni̱o,village,,12.04098,124.813872
Barangay Tagnao,village,,12.015095,124.789041
Barangay Tambongan,village,,11.98286,124.749019
Barangay Tigdaranao,village,,11.906939,124.716048
Barangay Tizon,village,,11.875582,124.831084
Baras,village,,13.373444,121.00657
Baras,village,,11.010012,125.769612
Baras,hamlet,,11.180616,125.015635
Baras,hamlet,,11.914108,124.422849
Baras Daco,hamlet,,11.523301,124.298189
Barayong,village,,11.172058,124.97586
Barbati,hamlet,,13.3868,121.1041
Barbo,village,,11.031298,125.758727
Barcelona,village,,12.868325,124.141823
Barcenaga,village,,13.272657,121.237816
Bariis,hamlet,,12.471679,123.382616
Barili,town,,10.113928,123.510481
Baring,hamlet,,10.592586,124.017975
Bariw,hamlet,,12.470747,123.325535
Baroc,hamlet,,12.583333,121.483333
Barok,hamlet,,13.35,121.95
Barotac Viejo,town,,11.066667,122.883333
Bartolabac,hamlet,,12.547749,123.646722
Barugo,town,,11.324167,124.738333
Baruyan,hamlet,,13.3676,121.1284
Basac,hamlet,,10.666667,123.916667
Basac,hamlet,,10.628946,123.966542
Basak,village,,10.292063,123.956349
Basak,hamlet,,10.280833,123.963333
Basak,hamlet,,10.3,123.95
Basak,hamlet,,10.45,124.016667
Basak San Nicolas,village,,10.287946,123.869515
Basay,town,,9.409963,122.64097
Basbas,village,,10.266421,123.980632
Basey,town,,11.282714,125.069573
Basiao,village,,9.224994,124.656736
Basiao,village,,10.062244,124.545611
Basiao,hamlet,,11.548611,122.6375
Basiao,hamlet,,11.950472,124.318748
Basiao,hamlet,,11.690236,124.901318
Basiao,hamlet,,12.4371,123.3604
Basiao Guiti,hamlet,,11.947407,124.333164
Basilisa,town,,10.05,125.5
Baso,village,,11.487206,124.594776
Bata,village,,10.703464,122.972017
Bataad,village,,10.984384,123.930327
Batad,town,,11.417274,123.110255
Batan,town,,11.586911,122.496248
Batang,hamlet,,11.299444,125.601389
Batasan,hamlet,,12.768106,120.789727
Bateria,village,,11.143685,124.026499
Batiano,hamlet,,11.4042,122.5714
Batiano,hamlet,,12.421944,121.991667
Bating,hamlet,,12.258254,121.262412
Bating,hamlet,,11.4522,122.6005
Batingan,hamlet,,12.967005,121.452616
Batirawan,hamlet,,12.271753,121.158912
Bato,town,,10.328582,124.788886
Bato,village,,10.339556,123.593177
Bato,village,,12.37069,125.261861
Bato,village,,11.504476,124.435423
Bato,hamlet,,12.766667,121.383333
Bato,hamlet,,11.145,124.841111
Batoan,hamlet,,10.083333,124.266667
Batobalawan,hamlet,,12.503536,121.419613
Baton,hamlet,,13.4004,121.2168
Batong Buhay,village,,12.816845,120.86248
Batu,village,,11.083534,122.640324
Batuan,town,,9.784135,124.149835
Batuan,town,,12.383333,123.75
Batuan,hamlet,,11.45,123.05
Batuila,hamlet,,12.453208,123.483574
Batunganga,hamlet,,12.270253,121.156612
Batuyanan,hamlet,,11.217583,122.763389
Bayabas,town,,8.967846,126.283618
Bayabas,hamlet,,12.286552,121.111512
Bayahavan,hamlet,,9.781944,124.041667
Bayan,village,,11.156291,122.653314
Bayanan,village,,13.336644,121.044218
Bayang,hamlet,,11.545833,122.439444
Bayangan,hamlet,,12.629728,121.485514
Bayasong,village,,12.988512,123.6846
Bayawan,town,,9.368191,122.805259
Baybay,village,,10.475525,123.443108
Baybay,village,,12.38723,125.311786
Baybay,village,,9.977023,126.089308
Baybay,village,,11.1913,125.021876
Baybay,hamlet,,11.7412,122.3103
Baybay,hamlet,,11.7163,122.0942
Baye,hamlet,,10.56583,123.717228
Baye,hamlet,,10.578017,123.830745
Baye,hamlet,,11.3868,122.5856
Baye-baye,hamlet,,11.417687,122.504818
Baylao,village,,9.248954,124.6915
Bayog,village,801,11.09031,124.53704
Bayombang,hamlet,,12.304151,121.170313
Bayong,hamlet,,10.505278,123.790833
Bayudbod,hamlet,,13.316389,121.251944
Bayugan,town,,8.9,125.8
Bayuin,hamlet,,13.041101,121.388516
Belen,hamlet,,11.066667,124.383333
Belison,town,,10.837462,121.962146
Benaguhan,hamlet,,11.0637,124.4224
Benolho,village,1824,10.94964,124.667456
Benoni,village,,9.139291,124.793772
Benquet,village,,12.882669,124.138128
Bentuco,village,,12.850487,124.071579
Bernardes,village,,11.564413,124.393198
Beta-og,village,,11.139444,125.283333
Beverly Hills Subdivision,village,,10.334448,123.890233
Bi-as,hamlet,,11.183333,124.783333
Biasong,village,,10.237269,123.828133
Biasong,hamlet,,10.5229,123.736
Biasong,hamlet,,11.925445,124.290162
Bibingcahan,village,,12.98492,124.009518
Bien Unido,village,,10.137767,124.378863
Biga,hamlet,,13.329201,121.172779
Biga,hamlet,,13.3383,121.1417
Bigaa,hamlet,,11.666667,122.316667
Bignasin,hamlet,,12.4712,121.3956
Bigtasan,hamlet,,9.883333,124.033333
Bilao,hamlet,,11.488,122.5599
Bilar,town,,9.705958,124.104626
Bilaran,hamlet,,11,124.483333
Bilat,hamlet,,12.242055,121.132812
Biliboy,village,795,11.04,124.617902
Biliran,town,,11.466667,124.475278
Bilwang,village,,11.698088,124.398112
Binabag,village,,10.957319,123.961358
BINABAG,village,,10.249851,123.622843
Binabag,hamlet,,11.049225,123.96815
Binakan,hamlet,,11.263651,123.714413
Binalbagan,town,,10.190359,122.85916
Binaliw,village,,10.423335,123.915905
Binaliw,hamlet,,12.274722,121.247222
